"Code","Occurrences_dans_spGQE","Présent_dans_spGQE"
"MRS_496",2,"✅ Oui"
"MRS_497",2,"✅ Oui"
"MRS_498",2,"✅ Oui"
"MRS_499",2,"✅ Oui"
"MRS_500",2,"✅ Oui"
"MRS_501",2,"✅ Oui"
"MRS_502",2,"✅ Oui"
"MRS_503",2,"✅ Oui"
"MRS_504",2,"✅ Oui"
"MRS_505",2,"✅ Oui"
"MRS_506",2,"✅ Oui"
"MRS_507",2,"✅ Oui"
"MRS_508",2,"✅ Oui"
"MRS_509",2,"✅ Oui"
"MRS_510",2,"✅ Oui"
"MRS_511",2,"✅ Oui"
"MRS_512",2,"✅ Oui"
"MRS_513",2,"✅ Oui"
"MRS_514",2,"✅ Oui"
"MRS_515",2,"✅ Oui"
"MRS_516",2,"✅ Oui"
"MRS_517",2,"✅ Oui"
"MRS_518",2,"✅ Oui"
"MRS_519",2,"✅ Oui"
"MRS_520",2,"✅ Oui"
"MRS_521",2,"✅ Oui"
"MRS_522",2,"✅ Oui"
"MRS_523",2,"✅ Oui"
"MRS_524",2,"✅ Oui"
"MRS_525",2,"✅ Oui"
"MRS_526",2,"✅ Oui"
"MRS_527",2,"✅ Oui"
"MRS_528",2,"✅ Oui"
"MRS_529",2,"✅ Oui"
"MRS_530",2,"✅ Oui"
"MRS_531",2,"✅ Oui"
"MRS_532",2,"✅ Oui"
"MRS_533",2,"✅ Oui"
"MRS_534",2,"✅ Oui"
"MRS_535",2,"✅ Oui"
"MRS_536",2,"✅ Oui"
"MRS_537",2,"✅ Oui"
"MRS_538",2,"✅ Oui"
"MRS_539",2,"✅ Oui"
"MRS_540",2,"✅ Oui"
"MRS_541",2,"✅ Oui"
"MRS_542",2,"✅ Oui"
"MRS_543",2,"✅ Oui"
"MRS_544",2,"✅ Oui"
"MRS_545",2,"✅ Oui"
"MRS_546",2,"✅ Oui"
"MRS_547",2,"✅ Oui"
"MRS_548",2,"✅ Oui"
"MRS_549",2,"✅ Oui"
"MRS_550",2,"✅ Oui"
"MRS_551",2,"✅ Oui"
"MRS_552",2,"✅ Oui"
"MRS_553",2,"✅ Oui"
"MRS_554",2,"✅ Oui"
"MRS_555",2,"✅ Oui"
"MRS_556",2,"✅ Oui"
"MRS_557",2,"✅ Oui"
"MRS_558",2,"✅ Oui"
"MRS_559",2,"✅ Oui"
"MRS_560",2,"✅ Oui"
"MRS_561",2,"✅ Oui"
"MRS_562",2,"✅ Oui"
"MRS_563",2,"✅ Oui"
"MRS_564",6,"✅ Oui"
"MRS_564",6,"✅ Oui"
"MRS_564",6,"✅ Oui"
"MRS_565",6,"✅ Oui"
"MRS_565",6,"✅ Oui"
"MRS_565",6,"✅ Oui"
"MRS_566",6,"✅ Oui"
"MRS_566",6,"✅ Oui"
"MRS_566",6,"✅ Oui"
"MRS_567",6,"✅ Oui"
"MRS_567",6,"✅ Oui"
"MRS_567",6,"✅ Oui"
"MRS_568",6,"✅ Oui"
"MRS_568",6,"✅ Oui"
"MRS_568",6,"✅ Oui"
"MRS_569",6,"✅ Oui"
"MRS_569",6,"✅ Oui"
"MRS_569",6,"✅ Oui"
"MRS_570",6,"✅ Oui"
"MRS_570",6,"✅ Oui"
"MRS_570",6,"✅ Oui"
"MRS_571",6,"✅ Oui"
"MRS_571",6,"✅ Oui"
"MRS_571",6,"✅ Oui"
"MRS_572",6,"✅ Oui"
"MRS_572",6,"✅ Oui"
"MRS_572",6,"✅ Oui"
"MRS_573",4,"✅ Oui"
"MRS_573",4,"✅ Oui"
"MRS_574",6,"✅ Oui"
"MRS_574",6,"✅ Oui"
"MRS_574",6,"✅ Oui"
"MRS_575",6,"✅ Oui"
"MRS_575",6,"✅ Oui"
"MRS_575",6,"✅ Oui"
"MRS_576",6,"✅ Oui"
"MRS_576",6,"✅ Oui"
"MRS_576",6,"✅ Oui"
"MRS_577",6,"✅ Oui"
"MRS_577",6,"✅ Oui"
"MRS_577",6,"✅ Oui"
"MRS_578",6,"✅ Oui"
"MRS_578",6,"✅ Oui"
"MRS_578",6,"✅ Oui"
"MRS_579",6,"✅ Oui"
"MRS_579",6,"✅ Oui"
"MRS_579",6,"✅ Oui"
"MRS_583",2,"✅ Oui"
"MRS_580",4,"✅ Oui"
"MRS_580",4,"✅ Oui"
"MRS_581",6,"✅ Oui"
"MRS_581",6,"✅ Oui"
"MRS_581",6,"✅ Oui"
"MRS_582",6,"✅ Oui"
"MRS_582",6,"✅ Oui"
"MRS_582",6,"✅ Oui"
"MRS_584",6,"✅ Oui"
"MRS_584",6,"✅ Oui"
"MRS_584",6,"✅ Oui"
"MRS_585",6,"✅ Oui"
"MRS_585",6,"✅ Oui"
"MRS_585",6,"✅ Oui"
"MRS_586",6,"✅ Oui"
