"MLD","mbg_Moisture","mbg_Protein","mbg_Starch","mbg_n","nirs_MLD_OG_NIRS","nirs_MLD_PG_NIRS","nirs_MLD_SG_NIRS","nirs_n","delta_moisture","delta_protein","delta_starch","status"
"MLD_001",9.555,8.825,60.66,2,4.24016804888333,11.2173674503416,72.1054789224583,4,-5.31483195111667,2.39236745034165,11.4454789224583,"matched"
"MLD_002",9.5,10.335,62.69,2,4.11067168909167,11.3919952233417,71.569497617075,4,-5.38932831090833,1.05699522334165,8.879497617075,"matched"
"MLD_003",10.41,9.47,62.2,2,4.14566871520833,11.9193675915,71.7701975504583,4,-6.26433128479167,2.44936759149998,9.57019755045833,"matched"
"MLD_004",9.29,9.76,63.17,2,5.66217567525,11.995034003275,69.3910250982583,4,-3.62782432475,2.235034003275,6.22102509825832,"matched"
"MLD_005",10.71,11.07,62.2,2,3.59387952481667,13.1951923529584,71.3040163677,4,-7.11612047518333,2.12519235295835,9.1040163677,"matched"
"MLD_006",10.02,9.545,61.935,2,3.60572801025,12.0552349090416,71.7786540985833,4,-6.41427198975,2.51023490904165,9.84365409858331,"matched"
"MLD_007",9.495,10.095,63.23,2,3.89090909697778,12.2620646265889,71.3888927034333,4,-5.60409090302222,2.16706462658887,8.15889270343332,"matched"
"MLD_008",8.685,10.12,65.8,2,4.41506455735,12.3707697869417,70.2577705384,4,-4.26993544265,2.25076978694167,4.45777053840003,"matched"
"MLD_009",10.175,9.805,61.775,2,2.75865619711111,11.2129911317222,63.982615153,4,-7.41634380288889,1.40799113172223,2.207615153,"matched"
"MLD_010",9,10.005,63.18,2,4.712276415225,11.8658380667,70.8026927947167,4,-4.287723584775,1.8608380667,7.62269279471667,"matched"
"MLD_011",9.44,9.23,61.245,2,4.30576474271667,11.4470289548167,71.1389817556167,4,-5.13423525728333,2.21702895481667,9.89398175561669,"matched"
"MLD_012",10.1,9.845,63.755,2,4.48727121344167,12.335134577825,70.8134003957833,4,-5.61272878655833,2.490134577825,7.05840039578334,"matched"
"MLD_013",10.78,10.69,61.17,2,4.47891016805833,12.3200299421833,70.5959419250833,4,-6.30108983194167,1.63002994218335,9.42594192508332,"matched"
"MLD_014",10.795,10.085,61.025,2,3.86012953921667,12.31021591825,71.72229385385,4,-6.93487046078333,2.22521591825,10.69729385385,"matched"
"MLD_015",10.66,10.255,60.325,2,4.24807511433333,12.1538270315,71.4453811645555,4,-6.41192488566667,1.8988270315,11.1203811645555,"matched"
"MLD_016",9.92,11.035,60.945,2,4.58473259595833,12.5983233529417,70.0562337875833,4,-5.33526740404167,1.56332335294167,9.11123378758332,"matched"
"MLD_017",10.36,10.75,62.06,2,4.21651345489167,13.057147113525,70.6406513214167,4,-6.14348654510833,2.307147113525,8.58065132141667,"matched"
"MLD_018",10.16,9.8,62.765,2,4.293353593425,11.5990809758167,70.3265487035167,4,-5.866646406575,1.79908097581665,7.56154870351665,"matched"
"MLD_019",9.865,11.045,61.615,2,4.33040095370833,12.7155326207084,70.6524594625,4,-5.53459904629167,1.67053262070835,9.0374594625,"matched"
